,currentThrust,sent_time_ns,recv_time_ns,latency,currentTimestep,currentTime,totalTimestepsRun,versions,drag,currentMassFlowRate,currentOxidiserMass,currentFuelMass,currentRocketTotalMass,netThrust,currentAcceleration,currentVelocityDelta,currentVelocity,currentAltitudeDelta,currentAltitude,requiredThrustChange
3.92,123191000.0,130830702434600,130830749900500,47465900,92,92,200,3,9060082.660947273,30628.52738619129,4057007.5546889026,676167.9257814866,5164175.4804704,62653319.958418526,12.060766847731312,12.060766847731312,616.8035123064775,616.8035123064775,25021.71706666061,49.14131717542798
3.93,123191000.0,130830859826300,130830905416300,45590000,93,93,201,3,8418351.559211038,30628.52738619129,4030754.531215024,671792.4218691735,5133546.953084209,63470355.87563809,12.29051106331821,12.29051106331821,629.0940233697958,629.0940233697958,25650.811090030405,48.4780902211703
3.95,123191000.0,130831047840000,130831079109500,31269500,95,95,203,3,7345345.179850149,30628.52738619129,4004501.507741146,667416.9179568605,5102918.425698018,65263020.67565863,12.789352137592017,12.789352137592017,654.4307532599832,654.4307532599832,26946.883244412777,47.02289885165424
3.96,123191000.0,130831189618600,130831218418500,28799900,96,96,204,3,6848622.008175932,30628.52738619129,3978248.4842672674,663041.4140445475,5072289.898311826,66086490.917710826,13.02892623304238,13.02892623304238,667.4596794930256,667.4596794930256,27614.342923905802,46.3544488495825
3.97,123191000.0,130831313298000,130831406153000,92855000,97,97,205,3,6377469.456837496,30628.52738619129,3951995.460793389,658665.9101322345,5041661.370925635,66883679.94304358,13.266198386260108,13.266198386260108,680.7258778792858,680.7258778792858,28295.068801785088,45.707332562408304
3.98,123191000.0,130831470825500,130831499617800,28792300,98,98,206,3,5931176.1931270575,30628.52738619129,3925742.4373195106,654290.4062199214,5011032.843539444,67655298.34804057,13.501268193695092,13.501268193695092,694.2271460729809,694.2271460729809,28989.29594785807,45.08097316521454
3.99,123191000.0,130831624130400,130831654964700,30834300,99,99,207,3,5509025.276554026,30628.52738619129,3899489.413845632,649914.9023076084,4980404.3161532525,68402057.46540953,13.734237849637411,13.734237849637411,707.9613839226183,707.9613839226183,29697.25733178069,44.47479323537471
3.100,123191000.0,130831735677600,130831749760000,14082400,100,100,208,3,5110290.7530894475,30628.52738619129,3873236.390371754,645539.3983952954,4949775.788767061,69124674.23564109,13.96521321077037,13.96521321077037,721.9265971333887,721.9265971333887,30419.183928914077,43.88821079815807
3.101,123191000.0,130901094771700,130901108891900,14120200,101,101,698,3,0.7082012317888884,30628.52738619129,3820730.343423997,636788.3905706693,4888518.733994679,70666300.64275081,14.455565067458682,14.455565067458682,751.5776104880381,751.5776104880381,31412.468880313874,42.63679924446525
3.102,123191000.0,130832013671500,130832043717000,30045500,102,102,210,3,4380110.420829133,30628.52738619129,3794477.3199501187,632412.8866583563,4857890.206608487,71154986.6523416,14.647302352684935,14.647302352684935,765.1898314807993,765.1898314807993,32671.03719125891,42.240109543439374
3.103,123191000.0,130832123556400,130832155373000,31816600,103,103,211,3,4047154.032327933,30628.52738619129,3768224.2964762403,628037.3827460433,4827261.679222296,71788408.89450134,14.871455840791903,14.871455840791903,780.0612873215912,780.0612873215912,33451.098478580505,41.72593055133789
3.104,123191000.0,130832281000800,130832311796500,30795700,104,104,212,3,3734593.627003599,30628.52738619129,3741971.273002362,623661.8788337302,4796633.151836105,72401435.15348421,15.094219812446912,15.094219812446912,795.1555071340381,795.1555071340381,34246.253985714546,41.22830794986305
3.105,123191000.0,130832405672600,130832468285300,62612700,105,105,213,3,3441646.5367250456,30628.52738619129,3715718.2495284835,619286.3749214172,4766004.624449913,72994848.0974213,15.315731697563404,15.315731697563404,810.4712388316015,810.4712388316015,35056.72522454615,40.746606410028896
3.107,123191000.0,130832560839300,130832576100300,15261000,107,107,215,3,2911424.397182849,30628.52738619129,3689465.226054605,614910.8710091042,4735376.097063722,73569438.3229022,15.536134155958724,15.536134155958724,826.0073729875602,826.0073729875602,35882.73259753371,40.28018416694223
3.108,123191000.0,130832687598600,130832747421800,59823200,108,108,216,3,2672554.3149195616,30628.52738619129,3663212.2025807267,610535.3670967912,4704747.569677531,74126001.94428056,15.755574735194827,15.755574735194827,841.762947722755,841.762947722755,36724.49554525646,39.828394976678034
3.109,123191000.0,130832857419900,130832904921500,47501600,109,109,217,3,2450113.107580377,30628.52738619129,3636959.1791068483,606159.8631844781,4674119.0422913395,74665337.8802024,15.974205450188977,15.974205450188977,857.737153172944,857.737153172944,37582.232698429405,39.39059031893369
3.110,123191000.0,130833028694200,130833058622500,29928300,110,110,218,3,2243305.0905929888,30628.52738619129,3584453.1321590915,597408.8553598521,4612861.987518957,75188244.94120012,16.192182303345565,16.192182303345565,873.9293354762896,873.9293354762896,38456.1620339057,38.96612176116752
3.111,123191000.0,130833199992700,130833216011200,16018500,111,111,219,3,2051340.745733605,30628.52738619129,3558200.108685213,593033.351447539,4582233.460132766,76187949.01036397,16.626815214289955,16.626815214289955,906.9658154532921,906.9658154532921,40253.46684959799,38.15461437088426
3.112,123191000.0,130833295590300,130833327515800,31925500,112,112,220,3,1873439.7118517056,30628.52738619129,3531947.0852113348,588657.847535226,4551604.932746574,76666315.89790441,16.84379840313638,16.84379840313638,923.8096138564284,923.8096138564284,41177.27646345442,37.76630119253483
3.113,123191000.0,130833421264300,130833437188000,15923700,113,113,221,3,1708833.6643623963,30628.52738619129,3505694.0617374564,584282.343622913,4520976.405360383,77131387.79905224,17.060780876361115,17.060780876361115,940.8703947327896,940.8703947327896,42118.14685818721,37.38878018763364
3.114,123191000.0,130833529959000,130833544832300,14873300,114,114,222,3,1556769.0323539765,30628.52738619129,3479441.038263578,579906.8397106,4490347.877974192,77583918.28471918,17.277930439483224,17.277930439483224,958.1483251722728,958.1483251722728,43076.295183359485,37.02143964679304
3.115,123191000.0,130833640574200,130833672395200,31821000,115,115,223,3,1416509.5122009178,30628.52738619129,3453188.0147896996,575531.335798287,4459719.350588,78024643.6585308,17.495415636018326,17.495415636018326,975.6437408082912,975.6437408082912,44051.93892416778,36.6636818773037
3.116,123191000.0,130833765115300,130833795893700,30778400,116,116,224,3,1287338.3460996046,30628.52738619129,3426934.991315821,571155.8318859739,4429090.823201809,78454280.67829065,17.713405258548235,17.713405258548235,993.3571460668395,993.3571460668395,45045.29607023462,36.314925052730594
3.117,123191000.0,130833889704700,130833904625100,14920400,117,117,225,3,1168560.3428333316,30628.52738619129,3400681.967841943,566780.3279736609,4398462.295815618,78873524.53521545,17.93206789796745,17.93206789796745,1011.289213964807,1011.289213964807,46056.58528419943,35.974604853264076
3.118,123191000.0,130834027262700,130834059154100,31891400,118,118,226,3,1059503.6262266762,30628.52738619129,3374428.9443680644,562404.8240613479,4367833.7684294265,79283047.10548066,18.151571536109312,18.151571536109312,1029.4407855009163,1029.4407855009163,47086.02606970035,35.64217588502354
3.119,123191000.0,130834152882600,130834229476500,76593900,119,119,227,3,959521.1040922317,30628.52738619129,3348175.920894186,558029.3201490348,4337205.241043235,79683495.48127364,18.372083185555507,18.372083185555507,1047.8128686864718,1047.8128686864718,48133.83893838682,35.317112872471505
3.120,123191000.0,130834277471000,130834293520700,16049700,120,120,228,3,867991.6569577316,30628.52738619129,3321922.8974203076,553653.8162367218,4306576.713657044,80075490.78206666,18.593768579143322,18.593768579143322,1066.406637265615,1066.406637265615,49200.245575652436,34.99891162335994
3.121,123191000.0,130921498315100,130921544879600,46564500,121,121,832,3,822840.0153691822,30628.52738619129,3295669.873946429,549278.3123244088,4275948.186270853,80328481.34547773,18.78612131068266,18.78612131068266,1085.239712495593,1085.239712495593,48034.11250931884,34.793547137796004
3.122,123191000.0,130834528569200,130834544551000,15981800,122,122,230,3,707942.5880522274,30628.52738619129,3269416.850472551,544902.8084120958,4245319.658884661,80836471.55828924,19.041315626047997,19.041315626047997,1104.2647448021814,1104.2647448021814,51389.73374963075,34.38118729591508
3.123,123191000.0,130834654243500,130834701974500,47731000,123,123,231,3,638317.4963964059,30628.52738619129,3243163.8269986724,540527.3044997827,4214691.13149847,81206562.50360359,19.267500267506392,19.267500267506392,1123.5322450696879,1123.5322450696879,52513.26599470044,34.080766855043315
3.124,123191000.0,130834811731900,130834858290100,46558200,124,124,232,3,574935.0951198976,30628.52738619129,3216910.803524794,536151.8005874697,4184062.6041122787,81570410.75853865,19.495504364195625,19.495504364195625,1143.0277494338834,1143.0277494338834,53656.293744134324,33.785413903175844
3.125,123191000.0,130834919280300,130834919979900,699600,125,125,233,3,517312.7345441224,30628.52738619129,3190657.7800509157,531776.2966751567,4153434.0767260874,81928498.97277296,19.72548437252493,19.72548437252493,1162.7532338064084,1162.7532338064084,54819.04697794073,33.49473665058896
3.127,123191000.0,130835124271200,130835156058000,31786800,127,127,235,3,417555.9967186458,30628.52738619129,3164404.7565770373,527400.7927628437,4122805.549339896,82281282.01815248,19.957594660588967,19.957594660588967,1182.7108284669973,1182.7108284669973,56001.757806407724,33.2083658561482
3.128,123191000.0,130835265733600,130835313287900,47554300,128,128,236,3,374593.33864104823,30628.52738619129,3138151.733103159,523025.28885053063,4092177.0219537048,82629187.41791551,20.1919875349054,20.1919875349054,1202.9028160019027,1202.9028160019027,57204.660622409625,32.925954478886034
3.129,123191000.0,130835390223900,130835482652100,92428200,129,129,237,3,335732.8614631906,30628.52738619129,3111898.7096292805,518649.7849382176,4061548.4945675135,82972615.92965165,20.428813306213357,20.428813306213357,1223.3316293081161,1223.3316293081161,58427.99225171774,32.64717720478635
3.130,123191000.0,130835498954800,130835544507400,45552600,130,130,238,3,300625.0820917695,30628.52738619129,3085645.686155402,514274.2810259046,4030919.967181322,83311942.26048803,20.668220391074914,20.668220391074914,1243.9998496991911,1243.9998496991911,59671.99210141693,32.37172986623371
3.131,123191000.0,130835656410600,130835702023700,45613100,131,131,239,3,268944.8239286428,30628.52738619129,3059392.6626815237,509898.77711359155,4000291.439795131,83647515.893518,20.91035544595268,20.91035544595268,1264.910205145144,1264.910205145144,60936.90230656207,32.09932877116186
3.132,123191000.0,130835780063100,130835794699200,14636100,132,132,240,3,240390.22724297715,30628.52738619129,3033139.6392076453,505523.2732012785,3969662.9124089396,83979662.00533967,21.155363530445882,21.155363530445882,1286.0655686755897,1286.0655686755897,62222.967875237664,31.829709958243974
3.133,123191000.0,130835934469400,130835949522600,15053200,133,133,241,3,214681.70516924126,30628.52738619129,3006886.615733767,501147.7692889655,3939034.3850227483,84308682.45568386,21.40338829644336,21.40338829644336,1307.468956972033,1307.468956972033,63530.4368322097,31.56262839356458
3.134,123191000.0,130836045030000,130836061199500,16169500,134,134,242,3,191560.86160497356,30628.52738619129,2980633.5922598885,496772.2653766525,3908405.857636557,84634856.83141613,21.654572200082484,21.654572200082484,1329.1235291721155,1329.1235291721155,64859.56036138182,31.29785712315337
3.135,123191000.0,130836216547500,130836232307100,15759600,135,135,243,3,170789.38575804638,30628.52738619129,2954380.56878601,492396.76146433945,3877777.3302503657,84958443.52863894,21.90905673357827,21.90905673357827,1351.0325859056938,1351.0325859056938,66210.59294728751,31.03518639459137
3.136,123191000.0,130836360176400,130836389747500,29571100,136,136,244,3,152147.93653115202,30628.52738619129,2901874.5218382534,483645.7536397134,3816520.275477983,85279680.8581444,22.166982674196095,22.166982674196095,1373.19956857989,1373.19956857989,67583.7925158674,30.77442275966231
3.137,123191000.0,130836499693300,130836515225400,15532100,137,137,245,3,135435.0283698481,30628.52738619129,2875621.498364375,479270.24972740037,3785891.7480917918,85598788.16102983,22.428490347875695,22.428490347875695,1395.6280589277656,1395.6280589277656,68979.42057479516,30.51538816875435
3.138,123191000.0,130836624152100,130836638962500,14810400,138,138,246,3,120465.9286714202,30628.52738619129,2849368.4748904966,474894.74581508734,3755263.2207056005,85915966.92284968,22.693719905265127,22.693719905265127,1418.3217788330307,1418.3217788330307,70397.7423536282,30.257919066449915
3.139,123191000.0,130836716935100,130836763465100,46530000,139,139,247,3,107071.5753805285,30628.52738619129,2823115.451416618,470519.2419027743,3724634.693319409,86231401.87620664,22.96281160818444,22.96281160818444,1441.2845904412152,1441.2845904412152,71839.02694406941,30.001865496500038
3.140,123191000.0,130836886365600,130836900948600,14583000,140,140,248,3,95097.5220037685,30628.52738619129,2796862.42794274,466143.7379904613,3694006.165933218,86545262.08315605,23.235906124803495,23.235906124803495,1464.5204965660187,1464.5204965660187,73303.54744063543,29.747090223185094
3.141,123191000.0,130837011717800,130837043575900,31858100,141,141,249,3,84402.91597333693,30628.52738619129,2770609.4044688614,461768.23407814826,3663377.6385470266,87168862.44988033,23.794670124277264,23.794670124277264,1511.8283115223778,1511.8283115223778,76303.4093935559,29.240884115008132
3.142,123191000.0,130837139220200,130837155765300,16545100,142,142,250,3,74859.51508982723,30628.52738619129,2744356.380994983,457392.73016583524,3632749.1111608353,87478871.70442237,24.080625726577836,24.080625726577836,1535.9089372489557,1535.9089372489557,77839.31833080486,28.989234843111618
3.143,123191000.0,130837262815100,130837294656900,31841800,143,143,251,3,66350.74568160377,30628.52738619129,2718103.3575211046,453017.2262535222,3602120.583774644,87787846.32748915,24.37115701315493,24.37115701315493,1560.2800942621107,1560.2800942621107,79399.59842506697,28.73842543084385
3.144,123191000.0,130837389433000,130837420207500,30774500,144,144,252,3,58770.80513572296,30628.52738619129,2691850.3340472262,448641.7223412092,3571492.0563884526,88095892.12169355,24.666411329156773,24.666411329156773,1584.9465055912674,1584.9465055912674,80984.54493065824,28.488369993186552
3.145,123191000.0,130837515976200,130837593649500,77673300,145,145,253,3,52023.81058260955,30628.52738619129,2665597.310573348,444266.21842889616,3540863.5290022613,88403104.9699052,24.96653831637936,24.96653831637936,1609.9130439076469,1609.9130439076469,82594.45797456588,28.23899069744933
3.147,123191000.0,130837655758300,130837671516100,15757800,147,147,255,3,40689.94934752305,30628.52738619129,2639344.2870994695,439890.71451658313,3510235.00161607,88709571.63939527,25.27169024254913,25.27169024254913,1635.184734150196,1635.184734150196,84229.64270871608,27.990217110507047
3.148,123191000.0,130837747641700,130837763153800,15512100,148,148,256,3,35953.9157470568,30628.52738619129,2613091.263625591,435515.2106042701,3479606.4742298787,89015370.53845736,25.582022334338433,25.582022334338433,1660.7667564845344,1660.7667564845344,85890.40946520062,27.74198558461465
3.149,123191000.0,130837891012600,130837891849600,837000,149,149,257,3,31751.1223095866,30628.52738619129,2586838.2401517127,431139.7066919571,3448977.9468436874,89320572.42571636,25.89769311440729,25.89769311440729,1686.6644495989417,1686.6644495989417,87577.07391479956,27.494238681627426
3.150,123191000.0,130838048579900,130838157758700,109178800,150,150,258,3,28024.167241011324,30628.52738619129,2534332.193203956,422388.698867331,3387720.892071305,89625241.07281238,26.218864742925028,26.218864742925028,1712.8833143418667,1712.8833143418667,89289.95722914142,27.246924635068815
3.151,123191000.0,130838186866900,130838190988600,4121700,151,151,259,3,24721.445603771986,30628.52738619129,2508079.1697300775,418013.194955018,3357092.3646851135,90233202.45683526,26.878379458975324,26.878379458975324,1766.307397165016,1766.307397165016,92795.69364401248,26.753413433744953
3.152,123191000.0,130838295392400,130838389001100,93608700,152,152,260,3,21796.618832203865,30628.52738619129,2481826.146256199,413637.691042705,3326463.8372989222,90536593.13726537,27.217068203807916,27.217068203807916,1793.524465368824,1793.524465368824,94589.21810938131,26.50713677357488
3.154,123191000.0,130838451884300,130838496915900,45031600,154,154,262,3,16918.72731326663,30628.52738619129,2455573.1227823207,409262.18713039195,3295835.309912731,90839647.48483597,27.561949837609234,27.561949837609234,1821.0864152064332,1821.0864152064332,96410.30452458774,26.261133130800165
3.155,123191000.0,130838607346900,130838622343300,14996400,155,155,263,3,14895.100449795615,30628.52738619129,2429320.0993084423,404886.6832180789,3265206.7825265396,91142402.73610137,27.913210037367847,27.913210037367847,1848.9996252438011,1848.9996252438011,98259.30414983154,26.01537227873678
3.156,123191000.0,130838750134100,130838766204500,16070400,156,156,264,3,13107.449844064842,30628.52738619129,2403067.075834564,400511.1793057659,3234578.2551403483,91444892.21662338,28.271040303724416,28.271040303724416,1877.2706655475256,1877.2706655475256,100136.57481537906,25.769827165439533
3.157,123191000.0,130838859386000,130838920442100,61056100,157,157,265,3,11529.164591746408,30628.52738619129,2376814.0523606855,396135.67539345287,3203949.727754157,91747145.72088766,28.635638357908572,28.635638357908572,1905.9063039054342,1905.9063039054342,102042.4811192845,25.524473605305857
3.158,123191000.0,130838983945100,130839059395700,75450600,158,158,266,3,10136.500188000218,30628.52738619129,2350561.028886807,391760.17148113984,3173321.2003679657,92049189.8597985,29.007208551445988,29.007208551445988,1934.9135124568802,1934.9135124568802,103977.39463174138,25.279289996997747
3.159,123191000.0,130839074704300,130839121195300,46491000,159,159,267,3,8908.289585238603,30628.52738619129,2324308.0054129288,387384.6675688268,3142692.6729817744,92351048.3778608,29.385962290177897,29.385962290177897,1964.2994747470582,1964.2994747470582,105941.69410648843,25.03425706597008
3.160,123191000.0,130839201255800,130839216972100,15716300,160,160,268,3,7825.680471202129,30628.52738619129,2298054.9819390504,383009.1636565138,3112064.145595583,92652742.4421221,29.772118474245115,29.772118474245115,1994.0715932213034,1994.0715932213034,107935.76569970974,24.78935762992256
3.161,123191000.0,130839328849900,130839358445000,29595100,161,161,269,3,6871.8968166249515,30628.52738619129,2271801.958465172,378633.65974420076,3081435.618209392,92954290.90489466,30.165903955802907,30.165903955802907,2024.2374971771062,2024.2374971771062,109960.00319688684,24.54457638553574
3.163,123191000.0,130839498802600,130839514088000,15285400,163,163,271,3,5292.807476285851,30628.52738619129,2219295.911517415,369882.6519195747,3020178.563437009,93557016.2698615,30.977312865697648,30.977312865697648,2085.7823640591555,2085.7823640591555,114100.59061213945,24.055315510174037
3.164,123191000.0,130839626325900,130839687293100,60967200,164,164,272,3,4642.488049098298,30628.52738619129,2193042.888043537,365507.1480072617,2989550.036050818,93858221.33886519,31.39543416468502,31.39543416468502,2117.1777982238405,2117.1777982238405,116217.7684103633,23.810813014858887
3.165,123191000.0,130839733851200,130839749273200,15422000,165,165,273,3,4070.630903488479,30628.52738619129,2166789.8645696584,361131.64409494866,2958921.5086646266,94159337.51195091,31.822181574003768,31.822181574003768,2148.9999797978444,2148.9999797978444,118366.76839016113,23.56638268059281
3.166,123191000.0,130839892826900,130839907871400,15044500,166,166,274,3,3567.9881530078446,30628.52738619129,2140536.84109578,356756.14018263563,2928292.9812784353,94460375.22275507,32.2578293315157,32.2578293315157,2181.25780912936,2181.25780912936,120548.02619929049,23.322016037896375
3.167,123191000.0,130840015177500,130840077016700,61839200,167,167,275,3,3126.368753635541,30628.52738619129,2114283.8176219016,352380.6362703226,2897664.453892244,94761343.71916407,32.70266286073162,32.70266286073162,2213.9604719900917,2213.9604719900917,122761.98667128058,23.07770557981989
3.168,123191000.0,130840125707500,130840140815400,15107900,168,168,276,3,2738.522733077608,30628.52738619129,2088030.7941480235,348005.1323580096,2867035.9265060527,95062251.19222198,33.15697941325441,33.15697941325441,2247.117451403346,2247.117451403346,125009.10412268393,22.8334446573029
3.169,123191000.0,130840235570800,130840264465600,28894800,169,169,277,3,2398.0373496462935,30628.52738619129,2061777.7706741453,343629.62844569655,2836407.3991198614,95363104.89190108,33.62108874821448,33.62108874821448,2280.7385401515603,2280.7385401515603,127289.8426628355,22.589227385197724
3.170,123191000.0,130840358590200,130840379261500,20671300,170,170,278,3,2099.2440644793237,30628.52738619129,2035524.7472002672,339254.1245333835,2805778.87173367,95663911.23094305,34.09531385195478,34.09531385195478,2314.833854003515,2314.833854003515,129604.67651683901,22.345048557976593
3.171,123191000.0,130840527708800,130840528109200,400400,171,171,279,3,1837.135298154872,30628.52738619129,1983018.7002525108,330503.1167087575,2744521.8169612875,96265403.84031162,35.075474075442365,35.075474075442365,2384.4893197804345,2384.4893197804345,134338.57968232443,21.856788369027267
3.172,123191000.0,130840668666100,130840684569900,15903800,172,172,280,3,1607.2900259274902,30628.52738619129,1956765.6767786327,326127.61279644445,2713893.289575096,96566099.53924237,35.58212841683298,35.58212841683298,2420.0714481972673,2420.0714481972673,136758.6511305217,21.612699353652157
3.173,123191000.0,130840824383100,130840856086800,31703700,173,173,281,3,1229.24721798927,30628.52738619129,1930512.6533047545,321752.1088841314,2683264.762188905,96866766.87558226,36.1003387517235,36.1003387517235,2456.1717869489908,2456.1717869489908,139214.82291747068,21.368633361542432
3.175,123191000.0,130840952452300,130840999548000,47095700,175,175,283,3,1074.5776783086994,30628.52738619129,1904259.6298308764,317376.6049718184,2652636.2348027136,97167409.2893674,36.63050666899832,36.63050666899832,2492.802293617989,2492.802293617989,141707.62521108866,21.124587600257005
3.176,123191000.0,130841077064200,130841123142200,46078000,176,176,284,3,939.1278240045963,30628.52738619129,1878006.6063569982,313001.10105950537,2622007.7074165223,97468029.81256561,37.17305236627293,37.17305236627293,2529.975345984262,2529.975345984262,144237.60055707293,20.88055960860322
3.177,123191000.0,130841235525400,130841250755700,15230300,177,177,285,3,820.546016977431,30628.52738619129,1851753.58288312,308625.59714719234,2591379.180030331,97768631.11607844,37.728415767751166,37.728415767751166,2567.703761752013,2567.703761752013,146805.30431882496,20.63654721848314
3.178,123191000.0,130841359113600,130841381085300,21971700,178,178,286,3,716.7627362954087,30628.52738619129,1825500.559409242,304250.0932348793,2560750.6526441397,98069215.55154401,38.29705772027481,38.29705772027481,2606.000819472288,2606.000819472288,149411.30513829723,20.39254852096013
3.179,123191000.0,130841483990500,130841529755600,45765100,179,179,287,3,625.9575978845498,30628.52738619129,1799247.5359353637,299874.5893225663,2530122.1252579484,98369785.18848324,38.879461274405614,38.879461274405614,2644.8802807466936,2644.8802807466936,152056.18541904393,20.14856183610553
3.180,123191000.0,130841610226400,130841624959600,14733200,180,180,288,3,546.5300968621517,30628.52738619129,1772994.5124614856,295499.08541025326,2499493.597871757,98670341.84728017,39.47613305803022,39.47613305803022,2684.356413804724,2684.356413804724,154740.54183284866,19.904585686226937
3.181,123191000.0,130841750001900,130841781006300,31004400,181,181,289,3,477.07367271429854,30628.52738619129,1746741.4889876074,291123.58149794023,2468865.070485566,98970887.12843974,40.08760475070214,40.08760475070214,2724.4440185554263,2724.4440185554263,157464.98585140408,19.660618772118305
4.42,123191000.0,130841954671900,130842029343400,74671500,42,42,291,4,22875288.27268687,30628.52738619129,5343405.704908944,890567.6174848248,6664973.322393774,34631857.580971666,5.172329292864055,5.172329292864055,243.40699854615735,243.40699854615735,5277.525833742096,71.88767232917043
4.44,123191000.0,130842076959300,130842092080200,15120900,44,44,293,4,23642881.55628163,30628.52738619129,5317152.681435065,886192.1135725118,6634344.795007583,34533672.904990226,5.181367011471728,5.181367011471728,248.5883655576291,248.5883655576291,5526.114199299725,71.96737350537764
4.45,123191000.0,130842201729000,130842217570100,15841100,45,45,294,4,23981819.023029555,30628.52738619129,5290899.657961187,881816.6096601988,6603716.267621391,34426724.39160459,5.213234941725447,5.213234941725447,258.99656655397223,258.99656655397223,6038.8940974659445,72.0541887056647
4.46,123191000.0,130842327251000,130842358982400,31731400,46,46,295,4,24290521.800164863,30628.52738619129,5238393.61101343,873065.6018355727,6542459.212849009,34718953.32178636,5.306712994648917,5.306712994648917,264.30327954862116,264.30327954862116,6303.197377014566,71.81697256959814
4.47,123191000.0,130842422939200,130842437858900,14919700,47,47,296,4,24581920.901892085,30628.52738619129,5212140.587539552,868690.0979232597,6511830.685462818,34728020.07371767,5.333065577280045,5.333065577280045,269.6363451259012,269.6363451259012,6572.833722140467,71.80961265537444
4.48,123191000.0,130842575761000,130842623449700,47688700,48,48,297,4,24842066.782630496,30628.52738619129,5185887.564065673,864314.5940109467,6481202.158076626,34768340.046637796,5.364489364571173,5.364489364571173,275.00083449047236,275.00083449047236,6847.83455663094,71.7768830136635
4.49,123191000.0,130842735270800,130842751162700,15891900,49,49,298,4,25070873.557862055,30628.52738619129,5159634.540591795,859939.0900986337,6450573.630690435,34839999.125064775,5.401069907845652,5.401069907845652,280.401904398318,280.401904398318,7128.236461029258,71.71871392791294
4.50,123191000.0,130842796003400,130842872713400,76710000,50,50,299,4,25268296.752097297,30628.52738619129,5133381.517117917,855563.5861863206,6419945.103304244,34943041.78448807,5.442887940973738,5.442887940973738,285.8447923392917,285.8447923392917,7414.081253368549,71.6350692952504
4.51,123191000.0,130842952068100,130842999721800,47653700,51,51,300,4,25434326.48896749,30628.52738619129,5107128.493644038,851188.0822740076,6389316.575918052,35077477.90127641,5.490020330732522,5.490020330732522,291.33481267002423,291.33481267002423,7705.416066038573,71.52594109855718
4.53,123191000.0,130843092442900,130843107477700,15034800,53,53,302,4,25672303.047401287,30628.52738619129,5080875.47017016,846812.5783616946,6358688.048531861,35243288.87590434,5.542540946640959,5.542540946640959,296.8773536166652,296.8773536166652,8002.293419655239,71.39134443595366
4.54,123191000.0,130843219781500,130843310694400,90912900,54,54,303,4,25744351.545187272,30628.52738619129,5054622.446696281,842437.0744493816,6328059.52114567,35440433.05015969,5.60052144448593,5.60052144448593,302.4778750611511,302.4778750611511,8304.77129471639,71.23131312339402
4.55,123191000.0,130843311822300,130843452193400,140371100,55,55,304,4,25785201.265520655,30628.52738619129,5028369.423222403,838061.5705370685,6297430.993759478,35668850.40603224,5.664031958647702,5.664031958647702,308.1419070197988,308.1419070197988,8612.913201736188,71.0458958803547
4.56,123191000.0,130843437343500,130843452589000,15245500,56,56,305,4,25794937.753383573,30628.52738619129,5002116.399748525,833686.0666247555,6266802.466373287,35928466.539357394,5.733141698999466,5.733141698999466,313.87504871879827,313.87504871879827,8926.788250454987,70.83515310423863
4.57,123191000.0,130843577992700,130843593736900,15744200,57,57,306,4,25773655.17809257,30628.52738619129,4949610.352800768,824935.0588001295,6205545.411600905,36219195.90515301,5.807919448609201,5.807919448609201,319.68296816740747,319.68296816740747,9246.471218622395,70.5991542359807
4.58,123191000.0,130843735540500,130843766207200,30666700,58,58,307,4,25721454.54487431,30628.52738619129,4923357.3293268895,820559.5548878164,6174916.884214713,36540944.334102556,5.888433958728494,5.888433958728494,325.571402126136,325.571402126136,9572.04262074853,70.3379757172987
4.59,123191000.0,130843843308900,130843872860800,29551900,59,59,308,4,25638442.633364726,30628.52738619129,4897104.305853011,816184.0509755034,6144288.356828522,36893610.82097935,5.974754237630721,5.974754237630721,331.5461563637667,331.5461563637667,9903.588777112298,70.05169953894412
4.60,123191000.0,130843964810000,130844010481000,45671000,60,60,309,4,25524731.662374772,30628.52738619129,4870851.282379133,811808.5470631904,6113659.829442331,37277088.58614747,6.0669497297793935,6.0669497297793935,337.6131060935461,337.6131060935461,10241.201883205844,69.74041237903135
4.61,123191000.0,130844072464600,130844088184500,15719900,61,61,310,4,25380439.68138474,30628.52738619129,4844598.258905254,807433.0431508773,6083031.302056139,37691265.410795964,6.165090381588019,6.165090381588019,343.7781964751341,343.7781964751341,10584.980079680978,69.40420533091219
4.62,123191000.0,130861407259000,130861501579300,94320300,62,62,440,4,25775150.861477207,30628.52738619129,4792092.2119574975,798682.0353262513,6021774.247283757,38041777.919010594,6.285400911885793,6.285400911885793,359.38396513512237,359.38396513512237,11257.843344919092,69.1196776395917
4.63,123191000.0,130844339579000,130844403063200,63484200,63,63,312,4,25000621.494902715,30628.52738619129,4792092.2119574975,798682.0353262513,6021774.247283757,38611237.08968105,6.379489027279189,6.379489027279189,356.42693209211177,356.42693209211177,11291.454454837922,68.65742051799153
4.64,123191000.0,130844497055500,130844544559600,47504100,64,64,313,4,24580923.648066077,30628.52738619129,4765839.188483619,794306.5314139383,5991145.719897565,39116773.139243625,6.495888343354625,6.495888343354625,362.9228204354664,362.9228204354664,11654.377275273388,68.24705283726601
4.65,123191000.0,130844624548800,130844781845700,157296900,65,65,314,4,24078112.363999154,30628.52738619129,4739586.165009741,789931.0275016252,5960517.192511374,39836936.8397388,6.649301936929005,6.649301936929005,369.5721223723954,369.5721223723954,12023.949397645783,67.66246167354856
